id,mime,decoded_bytes,decoded_human,instances,distinct_pages,shared,footprint_bytes,recommended_action,example_page,all_pages,hash
img-110,webp,11060,10.8 KB,2,2,yes,22120,SHARED→one shared file; extract as-is (already WebP),gopher-connect.html,gopher-connect.html|gopher-request.html,3141147e0c8f
img-111,webp,21922,21.4 KB,1,1,no,21922,extract as-is (already WebP),gopher-request.html,gopher-request.html,d6b5ee2a3591
img-112,png,21397,20.9 KB,1,1,no,21397,convert to WebP,index.html,index.html,1ba3c443694e
img-113,png,21211,20.7 KB,1,1,no,21211,convert to WebP,gopher-connect.html,gopher-connect.html,6cad452b8dfb
img-114,webp,20768,20.3 KB,1,1,no,20768,extract as-is (already WebP),gopher-request.html,gopher-request.html,2c1c5873c296
img-115,svg+xml,10131,9.9 KB,2,2,yes,20262,SHARED→one shared file; extract .svg (keep vector),gopher-request.html,gopher-request.html|gopher-trustshield.html,da3c976a3427
img-116,webp,9660,9.4 KB,2,2,yes,19320,SHARED→one shared file; extract as-is (already WebP),gopher-connect.html,gopher-connect.html|gopher-request.html,66805cc545ae
img-117,webp,19292,18.8 KB,1,1,no,19292,extract as-is (already WebP),gopher-request.html,gopher-request.html,4ba202bbff44
img-118,jpeg,19093,18.6 KB,1,1,no,19093,convert to WebP,gopher-connect.html,gopher-connect.html,cfa047171d3d
img-119,jpeg,18769,18.3 KB,1,1,no,18769,convert to WebP,gopher-connect.html,gopher-connect.html,abc7098cce24
img-120,png,9127,8.9 KB,2,1,no,18254,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,43a2267c23f5
img-121,webp,18098,17.7 KB,1,1,no,18098,extract as-is (already WebP),gopher-connect.html,gopher-connect.html,a003a5059325
img-122,jpeg,18077,17.7 KB,1,1,no,18077,convert to WebP,gopher-go-101.html,gopher-go-101.html,b6d128a89c43
img-123,jpeg,17744,17.3 KB,1,1,no,17744,convert to WebP,gopher-go-101.html,gopher-go-101.html,403e8f971fd5
img-124,png,17463,17.1 KB,1,1,no,17463,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,0e030e131def
img-125,png,16787,16.4 KB,1,1,no,16787,convert to WebP,index.html,index.html,790a965de3e1
img-126,jpeg,16487,16.1 KB,1,1,no,16487,convert to WebP,gopher-go-101.html,gopher-go-101.html,359a96b18df8
img-127,jpeg,16147,15.8 KB,1,1,no,16147,convert to WebP,gopher-connect.html,gopher-connect.html,33d17d2c9956
img-128,png,16106,15.7 KB,1,1,no,16106,convert to WebP,gopher-connect.html,gopher-connect.html,aa965025443f
img-129,webp,15614,15.2 KB,1,1,no,15614,extract as-is (already WebP),gopher-request.html,gopher-request.html,f0de4f39a5cc
img-130,png,15573,15.2 KB,1,1,no,15573,convert to WebP,index.html,index.html,c46289dc7167
img-131,jpeg,15360,15.0 KB,1,1,no,15360,convert to WebP,gopher-go-101.html,gopher-go-101.html,8ff1cadde616
img-132,webp,15104,14.8 KB,1,1,no,15104,extract as-is (already WebP),gopher-connect.html,gopher-connect.html,792c61b5ca52
img-133,png,7440,7.3 KB,2,1,no,14880,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,63b6f6fc18b5
img-134,webp,14364,14.0 KB,1,1,no,14364,extract as-is (already WebP),gopher-connect.html,gopher-connect.html,cb340fb1344e
img-135,png,13714,13.4 KB,1,1,no,13714,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,6fbad3bc3ef5
img-136,jpeg,12500,12.2 KB,1,1,no,12500,convert to WebP,gopher-go-101.html,gopher-go-101.html,c3eb0fd0cdc3
img-137,webp,12204,11.9 KB,1,1,no,12204,extract as-is (already WebP),gopher-request.html,gopher-request.html,2cc4eab29528
img-138,webp,11848,11.6 KB,1,1,no,11848,extract as-is (already WebP),gopher-connect.html,gopher-connect.html,e0e75f80a7a1
img-139,webp,11838,11.6 KB,1,1,no,11838,extract as-is (already WebP),gopher-connect.html,gopher-connect.html,4c8d03005a6e
img-140,jpeg,11392,11.1 KB,1,1,no,11392,convert to WebP,gopher-go-101.html,gopher-go-101.html,1b4b2a68fac4
img-141,webp,11260,11.0 KB,1,1,no,11260,extract as-is (already WebP),gopher-connect.html,gopher-connect.html,4316bce4f339
img-142,jpeg,11211,10.9 KB,1,1,no,11211,convert to WebP,gopher-go-101.html,gopher-go-101.html,014472948379
